time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-20T23:45:50.670Z,35.5785,-117.406,7.25,1.84,ml,25,102,0.06323,0.14,ci,ci39276472,2020-01-20T23:56:21.850Z,"21km S of Trona, CA",earthquake,0.31,0.94,0.146,25,automatic,ci,ci
2020-01-20T14:31:51.920Z,35.7073333,-117.4875,4.37,1.71,ml,25,63,0.1076,0.19,ci,ci39276152,2020-01-22T15:40:09.370Z,"10km SW of Searles Valley, CA",earthquake,0.31,0.91,0.188,25,reviewed,ci,ci
2020-01-20T14:10:43.830Z,35.7136667,-117.5325,2.97,1.31,ml,19,73,0.09616,0.15,ci,ci39276136,2020-01-22T15:41:12.760Z,"13km WSW of Searles Valley, CA",earthquake,0.29,0.58,0.144,18,reviewed,ci,ci
2020-01-20T14:00:00.370Z,35.691,-117.499,1.44,1.39,ml,20,59,0.08941,0.19,ci,ci39276120,2020-01-20T14:03:41.752Z,"12km SW of Searles Valley, CA",earthquake,0.29,0.54,0.196,19,automatic,ci,ci
2020-01-20T12:25:10.370Z,35.7583333,-117.5935,3.14,1.47,ml,17,126,0.05738,0.14,ci,ci39276104,2020-01-22T15:40:47.649Z,"17km NNE of Ridgecrest, CA",earthquake,0.23,0.48,0.128,22,reviewed,ci,ci
2020-01-20T09:27:14.790Z,35.589,-117.3961667,9.28,2.52,ml,31,41,0.06892,0.14,ci,ci39276056,2020-01-27T08:03:38.040Z,"20km S of Trona, CA",earthquake,0.22,0.43,0.148,25,automatic,ci,ci
2020-01-20T06:02:16.630Z,35.6768333,-117.5346667,7.07,1.35,ml,19,62,0.06145,0.18,ci,ci39275960,2020-01-20T06:05:58.778Z,"14km ENE of Ridgecrest, CA",earthquake,0.35,0.86,0.12,20,automatic,ci,ci
2020-01-19T21:17:33.180Z,35.7013333,-117.5731667,1.65,1.46,ml,17,50,0.07919,0.14,ci,ci39275736,2020-01-19T21:21:19.607Z,"13km NE of Ridgecrest, CA",earthquake,0.21,0.38,0.124,21,automatic,ci,ci
2020-01-19T19:28:21.680Z,35.6715,-117.4761667,8.78,2.31,ml,28,58,0.07297,0.15,ci,ci39275680,2020-01-20T03:30:57.802Z,"12km SSW of Searles Valley, CA",earthquake,0.24,0.56,0.14,25,automatic,ci,ci
2020-01-19T17:55:20.180Z,35.6806667,-117.5175,8.92,1.51,ml,22,54,0.07203,0.13,ci,ci39275624,2020-01-22T15:46:37.880Z,"14km SW of Searles Valley, CA",earthquake,0.25,0.64,0.144,23,reviewed,ci,ci
2020-01-19T17:20:49.480Z,35.7181667,-117.5,1.53,1.39,ml,18,62,0.1112,0.16,ci,ci39275600,2020-01-22T15:47:41.200Z,"10km WSW of Searles Valley, CA",earthquake,0.28,0.57,0.176,18,reviewed,ci,ci
2020-01-19T13:11:01.070Z,35.7126667,-117.5608333,2.88,1.67,ml,16,67,0.09068,0.14,ci,ci39275488,2020-01-22T15:48:57.833Z,"15km NE of Ridgecrest, CA",earthquake,0.26,0.4,0.212,26,reviewed,ci,ci
2020-01-19T11:23:15.170Z,35.606,-117.4813333,7.42,1.3,ml,18,92,0.01123,0.17,ci,ci39275456,2020-01-22T15:49:46.140Z,"18km E of Ridgecrest, CA",earthquake,0.33,0.7,0.181,16,reviewed,ci,ci
2020-01-19T11:07:54.670Z,35.7918333,-117.6245,8.65,1.3,ml,19,61,0.03241,0.22,ci,ci39275448,2020-01-19T11:11:37.752Z,"20km NNE of Ridgecrest, CA",earthquake,0.38,0.87,0.126,15,automatic,ci,ci
2020-01-19T10:00:01.110Z,35.7093333,-117.5085,2.26,1.62,ml,27,60,0.1001,0.18,ci,ci39275432,2020-01-22T15:49:50.010Z,"11km SW of Searles Valley, CA",earthquake,0.26,0.51,0.174,26,reviewed,ci,ci
2020-01-19T08:47:48.480Z,35.7076667,-117.5091667,4.48,1.55,ml,22,78,0.0984,0.2,ci,ci39275392,2020-01-22T15:49:53.160Z,"12km SW of Searles Valley, CA",earthquake,0.34,0.84,0.156,25,reviewed,ci,ci
2020-01-19T06:35:10.990Z,35.689,-117.5541667,6.88,1.28,ml,18,67,0.06791,0.19,ci,ci39275344,2020-01-22T15:50:19.689Z,"13km NE of Ridgecrest, CA",earthquake,0.35,0.95,0.167,16,reviewed,ci,ci
2020-01-19T04:03:12.180Z,35.6758333,-117.5256667,4.58,1.24,ml,29,53,0.06429,0.17,ci,ci39275264,2020-01-21T22:43:58.096Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.43,0.185,21,reviewed,ci,ci
2020-01-19T02:40:27.650Z,35.6465,-117.5471667,5.67,1.4,ml,22,107,0.03025,0.21,ci,ci39275232,2020-01-19T02:44:05.643Z,"12km ENE of Ridgecrest, CA",earthquake,0.34,0.72,0.197,21,automatic,ci,ci
2020-01-19T01:48:51.900Z,35.681,-117.5353333,5.89,2.19,ml,35,52,0.06494,0.16,ci,ci39275216,2020-01-19T01:59:30.090Z,"14km ENE of Ridgecrest, CA",earthquake,0.22,0.67,0.115,25,automatic,ci,ci
2020-01-18T16:20:06.070Z,35.643,-117.4471667,8.26,1.21,ml,20,84,0.057,0.17,ci,ci39274840,2020-01-18T16:23:43.463Z,"14km SSW of Searles Valley, CA",earthquake,0.38,0.69,0.184,15,automatic,ci,ci
2020-01-18T14:51:32.470Z,35.8068333,-117.6315,5.64,1.75,ml,24,62,0.02902,0.16,ci,ci39274808,2020-01-22T15:56:17.240Z,"21km WNW of Searles Valley, CA",earthquake,0.26,0.79,0.177,26,reviewed,ci,ci
